,Year,Week_no,Deaths_except_COVID19,All_deaths_5_year_avg,Deaths_COVID
0,2020,Week 1,12254,12175,0
1,2020,Week 2,14058,13822,0
2,2020,Week 3,12990,13216,0
3,2020,Week 4,11856,12760,0
4,2020,Week 5,11612,12206,0
5,2020,Week 6,10986,11925,0
6,2020,Week 7,10944,11627,0
7,2020,Week 8,10841,11548,0
8,2020,Week 9,10816,11183,0
9,2020,Week 10,10895,11498,0
10,2020,Week 11,11014,11205,5
11,2020,Week 12,10542,10573,103
12,2020,Week 13,10602,10130,539
13,2020,Week 14,12912,10305,3475
14,2020,Week 15,12303,10520,6213
15,2020,Week 16,13593,10497,8758
16,2020,Week 17,13760,10458,8237
17,2020,Week 18,11918,9941,6035
18,2020,Week 19,8727,9576,3930
19,2020,Week 20,10763,10188,3810
20,2020,Week 21,9699,9940,2589
21,2020,Week 22,8002,8171,1822
22,2020,Week 23,9121,9977,1588
23,2020,Week 24,8862,9417,1114
24,2020,Week 25,8556,9404,783
25,2020,Week 26,8373,9293,606
26,2020,Week 27,8608,9183,532
27,2020,Week 28,8324,9250,366
28,2020,Week 29,8528,9093,295
29,2020,Week 30,8674,9052,217
30,2020,Week 31,8753,9036,193
31,2020,Week 32,8793,9102,152
32,2020,Week 33,9253,9085,139
33,2020,Week 34,9493,9157,138
34,2020,Week 35,8931,8241,101
35,2020,Week 36,7661,9182,78
36,2020,Week 37,9712,9306,99
37,2020,Week 38,9384,9264,139
38,2020,Week 39,9419,9377,215
39,2020,Week 40,9624,9555,321
40,2020,Week 41,9516,9811,438
41,2020,Week 42,9864,9865,670
42,2020,Week 43,9761,9759,978
43,2020,Week 44,9508,9891,1379
44,2020,Week 45,9875,10331,1937
45,2020,Week 46,9788,10350,2466
46,2020,Week 47,9838,10380,2697
47,2020,Week 48,9416,10357,3040
48,2020,Week 49,9468,10695,2835
49,2020,Week 50,9536,10750,2756
50,2020,Week 51,10025,11548,2986
51,2020,Week 52,8608,7954,2912
52,2020,Week 53,6925,7954,3144
53,2021,Week 1,11694,12175,6057
54,2021,Week 2,10797,13822,7245
55,2021,Week 3,10254,13216,8422
56,2021,Week 4,10015,12760,8433
57,2021,Week 5,9872,12206,7320
58,2021,Week 6,9663,11925,5691
59,2021,Week 7,9730,11627,4079
60,2021,Week 8,9700,11548,2914
61,2021,Week 9,9487,11183,2105
62,2021,Week 10,9486,11498,1501
